timestamp,original,statuscode,mimetype,digest
20060720094611,http://www.millsberry.com:80/shop.phtml?shop_id=4&sortby=30&p=1&msg=You+just+purchased+Tomato%21&class=success,200,text/html,TI6ZBHBTSDO3WU5KYSBJIGRTH2AGRPQO
20070317203142,http://www.millsberry.com:80/shop.phtml?shop_id=6&p=8&msg=1,200,text/html,ODX2QQHYD7OGSYPJARXKDJA3ULSAWM5P
20060902212454,http://www.millsberry.com:80/shop.phtml?shop_id=6&p=9&msg=1,200,text/html,U6KB6TNKR3SG7E7UCS2ICHH2WOXKIN3Y
20061108012611,http://www.millsberry.com:80/shop.phtml?shop_id=9&p=1&msg=2,200,text/html,NV3DV6NHQDNGWSAR5CGK2DLRLNVDXYVW
20070218072854,http://www.millsberry.com:80/shop.phtml?shop_id=9&p=2&msg=2,200,text/html,GZY4AVNFBMDS7XUSAMXWTJK5FOCPVU5B
20070206031514,"http://millsberry.com:80/shop.phtml?shop_id=3&sortby=100,105,106,117,120&p=1&msg=3",200,text/html,GAVKTTVXPDMYLWUTN4HE2PR4WN6A44AL
20060901052005,http://www.millsberry.com:80/shop.phtml?shop_id=3&sortby=107&p=1&msg=3,200,text/html,3UUNXKLJJQOLQWJBHXHNNP7PLUGUNYPO
20060902100313,http://www.millsberry.com:80/shop.phtml?shop_id=3&sortby=109&p=1&msg=3,200,text/html,J3SHWECSRQWE7Z3MMOSORHV4UVH2FD4Q
20060902100327,http://www.millsberry.com:80/shop.phtml?shop_id=3&sortby=110&p=1&msg=3,200,text/html,GUQCNIXI4IMFDFVX6EKIWDNVT65IX75S
20061207032155,http://www.millsberry.com:80/shop.phtml?shop_id=3&sortby=111&p=1&msg=3,200,text/html,V2WQTFDEJJ5B5WOAS6EBGIJN4RVB63EB
20061213074252,http://www.millsberry.com:80/shop.phtml?shop_id=1&sortby=9&p=2&msg=3,200,text/html,VUXBX3JO4B4VZWK2M2KI75AUWXZBKJEV
20061108012624,http://www.millsberry.com:80/shop.phtml?shop_id=10&p=2&msg=3,200,text/html,3EMICHLTU3QDOBKG3ICS2GHD6RGNHJFV
20060902213741,http://www.millsberry.com:80/shop.phtml?shop_id=3&sortby=108&p=2&msg=3,200,text/html,2GN57AVPPBKKX3XZMDL37M42S2KEJJDN
20060902095542,http://www.millsberry.com:80/shop.phtml?shop_id=1&sortby=9&p=3&msg=3,200,text/html,XM5VYS27GBETGL3OONTBBFOEF5OVYSNK
